id,imdb_id
106143,tt0110097
12475,tt0110123
9386,tt0107206
7984,tt0107207
59930,tt0110137
15765,tt0108551
31643,tt0110197
6,tt0107286
329,tt0107290
10909,tt0107302
507,tt0110265
34024,tt0107322
29918,tt0110305
9593,tt0107362
42580,tt0107413
22317,tt0110353
1413,tt0107468
12121,tt0107478
2246,tt0107497
10502,tt0107501
10440,tt0107507
9516,tt0107554
2320,tt0116253
83718,tt0111689
11971,tt0107616
2625,tt0107611
31911,tt0107613
788,tt0107614
21450,tt0107653
11231,tt0110657
41588,tt0110649
10447,tt0110678
31586,tt0110687
9300,tt0107756
9559,tt0107808
9800,tt0107818
713,tt0107822
8291,tt0107840
18133,tt0107889
25557,tt0111003
22588,tt0110939
10872,tt0110955
1245,tt0107943
11858,tt0110971
7007,tt0107969
10467,tt0111001
5550,tt0107978
8005,tt0107977
2088,tt0107983
10412,tt0105275
47889,tt0108000
14534,tt0108002
56583,tt0108026
41878,tt0105032
424,tt0108052
35233,tt0111094
14291,tt0108065
103413,tt0111102
11236,tt0108071
11592,tt0111127
8850,tt0111143
10445,tt0108101
695,tt0108122
43535,tt0111194
12519,tt0111201
23210,tt0108149
858,tt0108160
867,tt0108162
78,tt0083658
13203,tt0108186
10442,tt0108174
11074,tt0108238
33367,tt0089256
9607,tt0108255
17585,tt0111323
9057,tt0111400
20967,tt0108328
10635,tt0111418
9479,tt0107688
10057,tt0108333
11969,tt0108358
41590,tt0111488
319,tt0108399
26408,tt0108515
15139,tt0110763
161158,tt0107779
218473,tt0109226
85247,tt0110259
11446,tt0114906
51980,tt0107002
24405,tt0109403
11655,tt0104029
11800,tt0110623
8223,tt0107315
14587,tt0106408
31504,tt0110363
41653,tt0107349
53185,tt0111709
95743,tt0109828
23637,tt0107225
17600,tt0111252
10897,tt0110366
349394,tt0106878
21352,tt0109120
68806,tt0108059
37345,tt0110892
32562,tt0112651
47507,tt0107642
25403,tt0109382
124304,tt0106678
9066,tt0112572
771,tt0099785
251,tt0099653
812,tt0103639
280,tt0103064
581,tt0099348
80350,tt0114706
268,tt0096895
274,tt0102926
408,tt0029583
10020,tt0101414
10895,tt0032910
114,tt0100405
41043,tt0110719
576,tt0065214
15477,tt0110395
59146,tt0111752
124472,tt0109934
30528,tt0112606
7300,tt0117247
10824,tt0112625
261246,tt0106537
275,tt0116282
25059,tt0116552
11827,tt0082509
8766,tt0116514
23570,tt0117283
47333,tt0116684
54850,tt0110374
51242,tt0070506
10112,tt0065421
4307,tt0113083
46029,tt0118001
32308,tt0116165
88893,tt0102855
52873,tt0107471
123505,tt0113839
340210,tt0112712
44281,tt0090665
28121,tt0117891
12520,tt0113613
1592,tt0117381
166901,tt0114305
36447,tt0115837
19042,tt0115509
38884,tt0114671
47449,tt0112844
36259,tt0114658
41852,tt0116275
40926,tt0113122
9099,tt0117608
2021,tt0113448
61752,tt0116414
10988,tt0116095
11479,tt0111543
398959,tt0117517
287305,tt0117312
339428,tt0116485
12652,tt0113947
10684,tt0115956
954,tt0117060
68445,tt0109028
18989,tt0117071
10801,tt0117788
54285,tt0112257
